"date","rate"
"1403-08-07",67500
"1403-08-08",68550
"1403-08-09",68800
"1403-08-10",68400
"1403-08-11",68450
"1403-08-12",69400
"1403-08-13",69500
"1403-08-14",69100
"1403-08-15",68900
"1403-08-16",69700
"1403-08-17",69350
"1403-08-18",69600
"1403-08-19",69150
"1403-08-20",68350
"1403-08-21",67000
"1403-08-22",68100
"1403-08-23",68100
"1403-08-24",68450
"1403-08-25",68250
"1403-08-26",68450
"1403-08-27",68300
"1403-08-28",68250
"1403-08-29",69150
"1403-08-30",69150
"1403-09-01",69550
"1403-09-02",70050
"1403-09-03",70100
"1403-09-04",69200
"1403-09-05",69400
"1403-09-06",69600
"1403-09-07",69950
"1403-09-08",69950
"1403-09-09",70650
"1403-09-10",70550
"1403-09-11",70350
"1403-09-12",70850
"1403-09-13",71400
"1403-09-14",71950
"1403-09-15",71750
"1403-09-16",71450
"1403-09-17",71650
"1403-09-18",72000
"1403-09-19",72550
"1403-09-20",73200
"1403-09-21",73750
"1403-09-22",73650
"1403-09-23",74150
"1403-09-24",75550
"1403-09-25",75350
"1403-09-26",76650
"1403-09-27",77150
"1403-09-28",77500
"1403-09-29",77300
"1403-10-03",78400
"1403-10-04",79600
"1403-10-05",79300
"1403-10-06",80100
"1403-10-07",80850
"1403-10-08",82100
"1403-10-09",80300
"1403-10-10",82100
"1403-10-11",81650
"1403-10-12",81700
"1403-10-13",80850
"1403-10-14",80350
"1403-10-15",80350
"1403-10-16",79850
"1403-10-17",80150
"1403-10-18",80300
"1403-10-19",80750
"1403-10-20",81800
"1403-10-21",82250
"1403-10-22",82200
"1403-10-23",81050
"1403-10-24",81550
"1403-10-25",81780
"1403-10-26",80780
"1403-10-27",80550
"1403-10-28",80000
"1403-10-29",81000
"1403-10-30",81050
"1403-11-01",81350
"1403-11-02",82800
"1403-11-03",82900
"1403-11-04",84050
"1403-11-05",83350
"1403-11-06",83900
"1403-11-07",84250
"1403-11-08",84330
"1403-11-09",84450
"1403-11-10",83650
"1403-11-11",83950
"1403-11-12",83850
"1403-11-13",84280
"1403-11-14",84450
"1403-11-15",84220
"1403-11-16",84950
"1403-11-17",85750
"1403-11-18",86100
"1403-11-19",86900
"1403-11-20",89700
"1403-11-21",92750
"1403-11-22",92200
"1403-11-23",89350
"1403-11-24",89320
"1403-11-25",89950
"1403-11-26",90900
"1403-11-27",91250
"1403-11-28",91270
"1403-11-29",91450
"1403-11-30",92450
"1403-12-01",92730
"1403-12-02",94000
"1403-12-03",93600
"1403-12-04",93750
"1403-12-05",93250
"1403-12-06",92350
"1403-12-07",93000
"1403-12-08",93220
"1403-12-09",93000
"1403-12-10",93100
"1403-12-11",92700
"1403-12-12",92600
"1403-12-13",91350
"1403-12-14",91050
"1403-12-15",89000
"1403-12-16",89600
"1403-12-17",90250
"1403-12-18",91850
"1403-12-19",92700
"1403-12-20",93030
"1403-12-21",93150
"1403-12-22",93250
"1403-12-23",92850
"1403-12-24",92580
"1403-12-25",91900
"1403-12-26",94000
"1403-12-27",95350
"1403-12-28",98600
"1403-12-29",98450
"1403-12-30",98300